ServiceNo,Direction,Operator,n_stops,route_distance_km,wd_first_min,wd_last_min,wd_service_span_min,unique_stops,Category,OriginCode,DestinationCode,avg_wd_headway_min,one_way_trip_time_min,baseline_daily_trips,offered_stop_visits_per_day,complexity_score,bottleneck_score,throughput_intensity
74,1,SBST,64,27.5,330.0,1440.0,1110.0,64,TRUNK,64009,11379,9.125,114.06666666666666,121.64383561643835,7785.2054794520545,1.0119035271324863,0.5388708264455908,68.2513630577328
182M,1,SBST,59,29.1,565.0,1440.0,832.0,55,TRUNK,24009,24009,12.5,117.65,66.56,3927.04,1.0114796324561675,0.6674225713782365,33.379005524861874
12,1,GAS,68,25.8,330.0,1440.0,1080.0,68,TRUNK,77009,10499,10.5,109.8,102.85714285714286,6994.285714285715,0.9879661561985753,0.5792281482835875,63.70023419203748
173,1,TTS,63,27.4,330.0,1440.0,1129.0,62,TRUNK,43009,43009,11.5,113.38333333333333,98.17391304347827,6184.956521739131,0.9875422615222562,0.6145094242752056,54.54908000945875
174e,1,SBST,58,29.0,412.0,578.0,55.0,34,EXPRESS,22009,10499,13.0,116.96666666666667,4.230769230769231,245.3846153846154,0.9871183668459371,0.669426588464935,2.097902097902098
158,1,SBST,68,25.4,345.0,1439.0,1093.0,66,TRUNK,66009,66009,13.375,108.46666666666665,81.7196261682243,5556.934579439252,0.9648456926986072,0.6761023425365431,51.23172630091505
970,1,SMRT,67,25.7,330.0,1439.0,1085.0,65,TRUNK,45009,3218,14.0,109.11666666666667,77.5,5192.5,0.9636048905883451,0.6990474945589522,47.58668092255995
66B,2,TTS,47,31.5,,,,47,TRUNK,28009,7031,,121.45,85.54455445544555,4020.5940594059407,0.9272286166331165,0.5804936958188193,33.10493255995011
2,2,GAS,62,26.4,330.0,1440.0,1170.0,62,TRUNK,10499,99009,12.125,109.7,96.49484536082474,5982.680412371134,0.9111599530370981,0.5853500469175215,54.536740313319356
963,1,SMRT,51,29.9,335.0,1440.0,1098.0,49,TRUNK,46009,14009,10.625,117.51666666666665,103.34117647058824,5270.400000000001,0.9090713615741974,0.5168616732887508,44.8481066515388
138,1,SBST,59,27.3,360.0,1440.0,1084.0,58,TRUNK,54009,54009,9.875,111.65,109.77215189873418,6476.556962025316,0.9074375467063115,0.4921894253503322,58.0076754323808
156,1,SBST,64,25.6,315.0,1440.0,1095.0,64,TRUNK,67009,17009,14.0,107.73333333333335,78.21428571428571,5005.714285714285,0.9020813255076386,0.6541679626678065,46.463932107496454
